Model,Attack Recall,Attack Precision,Attack F1,F1-macro,Accuracy,FPR,FNR (Miss Rate),Attacks Caught,Attacks Missed,False Alarms
Random Forest,0.1605,0.9924,0.2763,0.5765,0.7893,0.0004,0.8395,46709,244292,359
Isolation Forest,0.2812,0.465,0.3505,0.5935,0.7388,0.1082,0.7188,81839,209162,94172
Ensemble — OR Rule,0.2835,0.466,0.3525,0.5946,0.7391,0.1086,0.7165,82485,208516,94510
Ensemble — AND Rule,0.1583,0.9995,0.2733,0.575,0.7891,0.0,0.8417,46063,244938,21
Ensemble — Weighted Vote,0.0798,0.9976,0.1477,0.5072,0.7694,0.0001,0.9202,23216,267785,55
